S,I,D,R,steps
73.0,18.0,9.0,0.0,27.0
81.0,8.0,11.0,0.0,21.0
83.0,3.0,14.0,0.0,22.0
77.0,6.0,17.0,0.0,32.0
73.0,5.0,22.0,0.0,40.0
79.0,8.0,13.0,0.0,25.0
75.0,10.0,15.0,0.0,30.0
79.0,6.0,15.0,0.0,27.0
74.0,11.0,15.0,0.0,31.0
83.0,9.0,8.0,0.0,15.0
82.0,8.0,10.0,0.0,21.0
73.0,13.0,14.0,0.0,32.0
86.0,4.0,10.0,0.0,15.0
80.0,6.0,14.0,0.0,26.0
82.0,9.0,9.0,0.0,17.0
80.0,11.0,9.0,0.0,21.0
78.0,10.0,12.0,0.0,25.0
83.0,5.0,12.0,0.0,21.0
73.0,9.0,18.0,0.0,35.0
83.0,5.0,12.0,0.0,20.0
78.0,7.0,15.0,0.0,28.0
82.0,7.0,11.0,0.0,20.0
86.0,6.0,8.0,0.0,13.0
77.0,9.0,14.0,0.0,27.0
82.0,9.0,9.0,0.0,18.0
83.0,7.0,10.0,0.0,18.0
75.0,9.0,16.0,0.0,31.0
83.0,4.0,13.0,0.0,21.0
85.0,6.0,9.0,0.0,14.0
73.0,11.0,16.0,0.0,33.0
80.0,7.0,13.0,0.0,24.0
74.0,16.0,10.0,0.0,28.0
87.0,6.0,7.0,0.0,10.0
83.0,5.0,12.0,0.0,20.0
79.0,5.0,16.0,0.0,28.0
87.0,4.0,9.0,0.0,13.0
79.0,8.0,13.0,0.0,25.0
77.0,7.0,16.0,0.0,29.0
78.0,5.0,17.0,0.0,30.0
80.0,4.0,16.0,0.0,26.0
79.0,8.0,13.0,0.0,26.0
77.0,10.0,13.0,0.0,26.0
82.0,7.0,11.0,0.0,20.0
85.0,4.0,11.0,0.0,16.0
89.0,3.0,8.0,0.0,9.0
84.0,5.0,11.0,0.0,19.0
86.0,1.0,13.0,0.0,17.0
83.0,6.0,11.0,0.0,19.0
82.0,5.0,13.0,0.0,22.0
71.0,13.0,16.0,0.0,35.0
70.0,16.0,14.0,0.0,35.0
77.0,10.0,13.0,0.0,28.0
83.0,9.0,8.0,0.0,15.0
83.0,5.0,12.0,0.0,19.0
77.0,9.0,14.0,0.0,27.0
78.0,9.0,13.0,0.0,25.0
75.0,10.0,15.0,0.0,34.0
78.0,7.0,15.0,0.0,28.0
84.0,7.0,9.0,0.0,15.0
89.0,3.0,8.0,0.0,9.0
82.0,5.0,13.0,0.0,22.0
76.0,9.0,15.0,0.0,29.0
73.0,12.0,15.0,0.0,35.0
76.0,10.0,14.0,0.0,30.0
77.0,8.0,15.0,0.0,30.0
76.0,10.0,14.0,0.0,28.0
77.0,8.0,15.0,0.0,31.0
86.0,4.0,10.0,0.0,17.0
86.0,3.0,11.0,0.0,15.0
84.0,3.0,13.0,0.0,21.0
76.0,9.0,15.0,0.0,31.0
81.0,7.0,12.0,0.0,24.0
76.0,13.0,11.0,0.0,27.0
85.0,2.0,13.0,0.0,21.0
81.0,5.0,14.0,0.0,24.0
83.0,6.0,11.0,0.0,18.0
82.0,7.0,11.0,0.0,22.0
82.0,5.0,13.0,0.0,22.0
80.0,7.0,13.0,0.0,25.0
82.0,6.0,12.0,0.0,21.0
84.0,4.0,12.0,0.0,18.0
79.0,5.0,16.0,0.0,29.0
80.0,8.0,12.0,0.0,23.0
84.0,7.0,9.0,0.0,16.0
75.0,10.0,15.0,0.0,31.0
78.0,7.0,15.0,0.0,31.0
79.0,6.0,15.0,0.0,27.0
80.0,7.0,13.0,0.0,23.0
77.0,10.0,13.0,0.0,26.0
68.0,17.0,15.0,0.0,37.0
84.0,3.0,13.0,0.0,19.0
78.0,11.0,11.0,0.0,26.0
78.0,7.0,15.0,0.0,27.0
80.0,5.0,15.0,0.0,25.0
79.0,6.0,15.0,0.0,27.0
87.0,2.0,11.0,0.0,15.0
79.0,7.0,14.0,0.0,27.0
81.0,6.0,13.0,0.0,23.0
84.0,4.0,12.0,0.0,19.0
72.0,18.0,10.0,0.0,28.0
75.0,9.0,16.0,0.0,31.0
85.0,2.0,13.0,0.0,19.0
84.0,7.0,9.0,0.0,15.0
73.0,13.0,14.0,0.0,31.0
83.0,5.0,12.0,0.0,21.0
85.0,4.0,11.0,0.0,16.0
80.0,9.0,11.0,0.0,23.0
84.0,6.0,10.0,0.0,16.0
80.0,9.0,11.0,0.0,21.0
79.0,6.0,15.0,0.0,27.0
82.0,5.0,13.0,0.0,24.0
86.0,7.0,7.0,0.0,11.0
76.0,6.0,18.0,0.0,33.0
82.0,8.0,10.0,0.0,19.0
84.0,8.0,8.0,0.0,15.0
79.0,5.0,16.0,0.0,28.0
85.0,5.0,10.0,0.0,17.0
80.0,8.0,12.0,0.0,24.0
71.0,12.0,17.0,0.0,37.0
79.0,7.0,14.0,0.0,26.0
89.0,2.0,9.0,0.0,13.0
72.0,14.0,14.0,0.0,33.0
86.0,5.0,9.0,0.0,15.0
82.0,4.0,14.0,0.0,22.0
84.0,6.0,10.0,0.0,16.0
82.0,4.0,14.0,0.0,22.0
83.0,4.0,13.0,0.0,21.0
75.0,13.0,12.0,0.0,30.0
76.0,12.0,12.0,0.0,26.0
86.0,3.0,11.0,0.0,15.0
81.0,4.0,15.0,0.0,26.0
82.0,1.0,17.0,0.0,27.0
74.0,11.0,15.0,0.0,34.0
77.0,11.0,12.0,0.0,28.0
71.0,13.0,16.0,0.0,37.0
81.0,8.0,11.0,0.0,21.0
72.0,9.0,19.0,0.0,39.0
82.0,4.0,14.0,0.0,26.0
79.0,8.0,13.0,0.0,25.0
76.0,8.0,16.0,0.0,30.0
83.0,5.0,12.0,0.0,21.0
82.0,5.0,13.0,0.0,21.0
81.0,7.0,12.0,0.0,23.0
81.0,9.0,10.0,0.0,19.0
82.0,10.0,8.0,0.0,17.0
83.0,7.0,10.0,0.0,17.0
81.0,7.0,12.0,0.0,22.0
82.0,5.0,13.0,0.0,22.0
81.0,9.0,10.0,0.0,19.0
80.0,7.0,13.0,0.0,24.0
78.0,7.0,15.0,0.0,27.0
77.0,11.0,12.0,0.0,25.0
83.0,3.0,14.0,0.0,24.0
77.0,8.0,15.0,0.0,29.0
79.0,7.0,14.0,0.0,27.0
87.0,6.0,7.0,0.0,13.0
76.0,13.0,11.0,0.0,26.0
81.0,7.0,12.0,0.0,23.0
82.0,6.0,12.0,0.0,21.0
86.0,4.0,10.0,0.0,15.0
83.0,4.0,13.0,0.0,21.0
84.0,4.0,12.0,0.0,18.0
81.0,5.0,14.0,0.0,24.0
86.0,3.0,11.0,0.0,15.0
79.0,6.0,15.0,0.0,27.0
86.0,4.0,10.0,0.0,15.0
79.0,9.0,12.0,0.0,24.0
83.0,4.0,13.0,0.0,23.0
74.0,12.0,14.0,0.0,32.0
80.0,8.0,12.0,0.0,23.0
84.0,7.0,9.0,0.0,19.0
64.0,17.0,19.0,0.0,46.0
85.0,5.0,10.0,0.0,15.0
74.0,11.0,15.0,0.0,32.0
72.0,10.0,18.0,0.0,36.0
72.0,13.0,15.0,0.0,34.0
87.0,5.0,8.0,0.0,11.0
78.0,6.0,16.0,0.0,29.0
76.0,6.0,18.0,0.0,35.0
86.0,4.0,10.0,0.0,14.0
86.0,6.0,8.0,0.0,13.0
85.0,3.0,12.0,0.0,18.0
80.0,7.0,13.0,0.0,24.0
82.0,5.0,13.0,0.0,22.0
84.0,3.0,13.0,0.0,22.0
82.0,7.0,11.0,0.0,19.0
76.0,8.0,16.0,0.0,31.0
74.0,15.0,11.0,0.0,27.0
78.0,10.0,12.0,0.0,28.0
73.0,8.0,19.0,0.0,36.0
67.0,13.0,20.0,0.0,44.0
80.0,10.0,10.0,0.0,22.0
74.0,12.0,14.0,0.0,32.0
79.0,9.0,12.0,0.0,24.0
88.0,5.0,7.0,0.0,10.0
80.0,8.0,12.0,0.0,23.0
79.0,3.0,18.0,0.0,33.0
76.0,12.0,12.0,0.0,27.0
88.0,3.0,9.0,0.0,12.0
83.0,4.0,13.0,0.0,21.0
80.0,8.0,12.0,0.0,23.0
84.0,5.0,11.0,0.0,17.0
74.0,11.0,15.0,0.0,31.0
80.0,7.0,13.0,0.0,25.0
81.0,7.0,12.0,0.0,24.0
72.0,10.0,18.0,0.0,36.0
78.0,4.0,18.0,0.0,31.0
85.0,4.0,11.0,0.0,16.0
70.0,15.0,15.0,0.0,37.0
76.0,9.0,15.0,0.0,29.0
83.0,6.0,11.0,0.0,22.0
73.0,15.0,12.0,0.0,30.0
83.0,5.0,12.0,0.0,22.0
79.0,6.0,15.0,0.0,26.0
82.0,4.0,14.0,0.0,23.0
81.0,6.0,13.0,0.0,24.0
84.0,6.0,10.0,0.0,17.0
78.0,13.0,9.0,0.0,22.0
82.0,7.0,11.0,0.0,20.0
78.0,9.0,13.0,0.0,26.0
84.0,6.0,10.0,0.0,18.0
82.0,9.0,9.0,0.0,18.0
83.0,3.0,14.0,0.0,21.0
79.0,7.0,14.0,0.0,25.0
80.0,8.0,12.0,0.0,22.0
70.0,14.0,16.0,0.0,36.0
69.0,13.0,18.0,0.0,42.0
84.0,6.0,10.0,0.0,17.0
83.0,7.0,10.0,0.0,17.0
84.0,5.0,11.0,0.0,18.0
78.0,10.0,12.0,0.0,26.0
87.0,2.0,11.0,0.0,15.0
79.0,8.0,13.0,0.0,26.0
81.0,6.0,13.0,0.0,23.0
79.0,8.0,13.0,0.0,25.0
79.0,11.0,10.0,0.0,22.0
78.0,8.0,14.0,0.0,26.0
82.0,6.0,12.0,0.0,22.0
84.0,3.0,13.0,0.0,21.0
85.0,5.0,10.0,0.0,15.0
77.0,13.0,10.0,0.0,23.0
82.0,7.0,11.0,0.0,21.0
75.0,13.0,12.0,0.0,29.0
83.0,6.0,11.0,0.0,18.0
80.0,8.0,12.0,0.0,22.0
82.0,4.0,14.0,0.0,22.0
76.0,12.0,12.0,0.0,28.0
80.0,8.0,12.0,0.0,23.0
81.0,5.0,14.0,0.0,24.0
85.0,5.0,10.0,0.0,16.0
75.0,12.0,13.0,0.0,28.0
81.0,7.0,12.0,0.0,21.0
78.0,6.0,16.0,0.0,29.0
80.0,9.0,11.0,0.0,22.0
83.0,5.0,12.0,0.0,20.0
84.0,7.0,9.0,0.0,16.0
79.0,9.0,12.0,0.0,24.0
80.0,6.0,14.0,0.0,25.0
78.0,10.0,12.0,0.0,24.0
80.0,7.0,13.0,0.0,24.0
77.0,11.0,12.0,0.0,27.0
82.0,6.0,12.0,0.0,20.0
78.0,7.0,15.0,0.0,28.0
85.0,6.0,9.0,0.0,18.0
82.0,7.0,11.0,0.0,20.0
85.0,6.0,9.0,0.0,16.0
85.0,3.0,12.0,0.0,19.0
72.0,8.0,20.0,0.0,41.0
84.0,7.0,9.0,0.0,15.0
83.0,4.0,13.0,0.0,20.0
77.0,10.0,13.0,0.0,28.0
87.0,2.0,11.0,0.0,14.0
86.0,3.0,11.0,0.0,17.0
79.0,8.0,13.0,0.0,24.0
84.0,3.0,13.0,0.0,20.0
82.0,6.0,12.0,0.0,20.0
81.0,5.0,14.0,0.0,26.0
82.0,7.0,11.0,0.0,20.0
82.0,5.0,13.0,0.0,21.0
85.0,3.0,12.0,0.0,17.0
77.0,11.0,12.0,0.0,26.0
84.0,5.0,11.0,0.0,18.0
82.0,7.0,11.0,0.0,21.0
81.0,9.0,10.0,0.0,20.0
81.0,8.0,11.0,0.0,20.0
66.0,14.0,20.0,0.0,47.0
75.0,9.0,16.0,0.0,31.0
74.0,9.0,17.0,0.0,37.0
72.0,11.0,17.0,0.0,37.0
80.0,7.0,13.0,0.0,24.0
72.0,15.0,13.0,0.0,33.0
72.0,15.0,13.0,0.0,33.0
80.0,9.0,11.0,0.0,22.0
65.0,15.0,20.0,0.0,45.0
80.0,6.0,14.0,0.0,24.0
82.0,2.0,16.0,0.0,24.0
76.0,10.0,14.0,0.0,29.0
81.0,8.0,11.0,0.0,20.0
77.0,13.0,10.0,0.0,25.0
80.0,10.0,10.0,0.0,21.0
88.0,2.0,10.0,0.0,13.0
78.0,7.0,15.0,0.0,27.0
83.0,9.0,8.0,0.0,15.0
79.0,9.0,12.0,0.0,25.0
82.0,8.0,10.0,0.0,19.0
77.0,7.0,16.0,0.0,30.0
83.0,3.0,14.0,0.0,23.0
79.0,9.0,12.0,0.0,23.0
82.0,5.0,13.0,0.0,21.0
81.0,6.0,13.0,0.0,22.0
78.0,6.0,16.0,0.0,29.0
85.0,4.0,11.0,0.0,16.0
73.0,10.0,17.0,0.0,35.0
84.0,2.0,14.0,0.0,21.0
83.0,9.0,8.0,0.0,18.0
76.0,12.0,12.0,0.0,27.0
82.0,4.0,14.0,0.0,23.0
83.0,4.0,13.0,0.0,22.0
84.0,6.0,10.0,0.0,18.0
83.0,4.0,13.0,0.0,23.0
79.0,10.0,11.0,0.0,23.0
80.0,9.0,11.0,0.0,21.0
75.0,10.0,15.0,0.0,32.0
84.0,4.0,12.0,0.0,18.0
81.0,6.0,13.0,0.0,23.0
82.0,5.0,13.0,0.0,21.0
86.0,4.0,10.0,0.0,14.0
87.0,2.0,11.0,0.0,15.0
76.0,7.0,17.0,0.0,31.0
81.0,5.0,14.0,0.0,25.0
87.0,3.0,10.0,0.0,13.0
80.0,6.0,14.0,0.0,25.0
78.0,7.0,15.0,0.0,27.0
78.0,11.0,11.0,0.0,24.0
87.0,2.0,11.0,0.0,16.0
83.0,4.0,13.0,0.0,22.0
76.0,11.0,13.0,0.0,28.0
72.0,12.0,16.0,0.0,35.0
81.0,5.0,14.0,0.0,24.0
78.0,11.0,11.0,0.0,23.0
77.0,9.0,14.0,0.0,30.0
79.0,9.0,12.0,0.0,23.0
83.0,3.0,14.0,0.0,21.0
86.0,6.0,8.0,0.0,12.0
84.0,5.0,11.0,0.0,18.0
83.0,5.0,12.0,0.0,21.0
74.0,11.0,15.0,0.0,32.0
77.0,10.0,13.0,0.0,26.0
80.0,7.0,13.0,0.0,23.0
78.0,9.0,13.0,0.0,28.0
83.0,5.0,12.0,0.0,19.0
86.0,4.0,10.0,0.0,15.0
75.0,9.0,16.0,0.0,32.0
73.0,10.0,17.0,0.0,35.0
82.0,9.0,9.0,0.0,18.0
76.0,9.0,15.0,0.0,31.0
85.0,5.0,10.0,0.0,16.0
83.0,7.0,10.0,0.0,19.0
86.0,3.0,11.0,0.0,16.0
78.0,8.0,14.0,0.0,26.0
77.0,8.0,15.0,0.0,30.0
79.0,8.0,13.0,0.0,26.0
77.0,10.0,13.0,0.0,26.0
83.0,3.0,14.0,0.0,21.0
83.0,6.0,11.0,0.0,19.0
83.0,6.0,11.0,0.0,21.0
86.0,4.0,10.0,0.0,15.0
79.0,9.0,12.0,0.0,23.0
78.0,8.0,14.0,0.0,27.0
82.0,5.0,13.0,0.0,22.0
84.0,6.0,10.0,0.0,18.0
83.0,7.0,10.0,0.0,17.0
83.0,5.0,12.0,0.0,20.0
78.0,10.0,12.0,0.0,24.0
77.0,11.0,12.0,0.0,30.0
75.0,10.0,15.0,0.0,33.0
85.0,5.0,10.0,0.0,15.0
83.0,5.0,12.0,0.0,20.0
79.0,5.0,16.0,0.0,28.0
82.0,6.0,12.0,0.0,21.0
78.0,11.0,11.0,0.0,23.0
78.0,8.0,14.0,0.0,26.0
82.0,5.0,13.0,0.0,22.0
82.0,4.0,14.0,0.0,23.0
80.0,8.0,12.0,0.0,22.0
83.0,4.0,13.0,0.0,23.0
81.0,7.0,12.0,0.0,21.0
86.0,3.0,11.0,0.0,16.0
84.0,4.0,12.0,0.0,24.0
75.0,13.0,12.0,0.0,28.0
72.0,13.0,15.0,0.0,35.0
73.0,10.0,17.0,0.0,38.0
87.0,3.0,10.0,0.0,15.0
86.0,5.0,9.0,0.0,15.0
84.0,3.0,13.0,0.0,19.0
77.0,10.0,13.0,0.0,31.0
81.0,11.0,8.0,0.0,20.0
80.0,6.0,14.0,0.0,25.0
77.0,8.0,15.0,0.0,29.0
84.0,7.0,9.0,0.0,17.0
78.0,8.0,14.0,0.0,27.0
80.0,6.0,14.0,0.0,25.0
75.0,8.0,17.0,0.0,32.0
79.0,8.0,13.0,0.0,25.0
80.0,10.0,10.0,0.0,22.0
80.0,10.0,10.0,0.0,22.0
81.0,5.0,14.0,0.0,24.0
76.0,5.0,19.0,0.0,33.0
84.0,7.0,9.0,0.0,15.0
84.0,4.0,12.0,0.0,19.0
79.0,9.0,12.0,0.0,25.0
67.0,13.0,20.0,0.0,45.0
74.0,12.0,14.0,0.0,30.0
82.0,6.0,12.0,0.0,22.0
85.0,2.0,13.0,0.0,19.0
80.0,5.0,15.0,0.0,28.0
88.0,3.0,9.0,0.0,12.0
79.0,9.0,12.0,0.0,25.0
72.0,16.0,12.0,0.0,31.0
89.0,2.0,9.0,0.0,11.0
77.0,10.0,13.0,0.0,26.0
81.0,6.0,13.0,0.0,22.0
78.0,6.0,16.0,0.0,29.0
87.0,4.0,9.0,0.0,14.0
82.0,8.0,10.0,0.0,19.0
77.0,8.0,15.0,0.0,29.0
78.0,9.0,13.0,0.0,27.0
79.0,7.0,14.0,0.0,29.0
75.0,9.0,16.0,0.0,32.0
82.0,5.0,13.0,0.0,21.0
85.0,3.0,12.0,0.0,19.0
83.0,7.0,10.0,0.0,18.0
81.0,7.0,12.0,0.0,23.0
80.0,7.0,13.0,0.0,23.0
76.0,11.0,13.0,0.0,28.0
82.0,8.0,10.0,0.0,18.0
86.0,0.0,14.0,0.0,20.0
74.0,10.0,16.0,0.0,34.0
76.0,7.0,17.0,0.0,35.0
78.0,8.0,14.0,0.0,26.0
76.0,6.0,18.0,0.0,34.0
84.0,4.0,12.0,0.0,18.0
77.0,8.0,15.0,0.0,28.0
75.0,9.0,16.0,0.0,32.0
85.0,6.0,9.0,0.0,15.0
80.0,10.0,10.0,0.0,21.0
86.0,2.0,12.0,0.0,17.0
85.0,4.0,11.0,0.0,16.0
80.0,4.0,16.0,0.0,26.0
83.0,4.0,13.0,0.0,20.0
82.0,6.0,12.0,0.0,21.0
84.0,7.0,9.0,0.0,15.0
78.0,11.0,11.0,0.0,23.0
83.0,6.0,11.0,0.0,18.0
77.0,12.0,11.0,0.0,24.0
80.0,9.0,11.0,0.0,23.0
81.0,5.0,14.0,0.0,26.0
87.0,2.0,11.0,0.0,15.0
81.0,8.0,11.0,0.0,20.0
79.0,9.0,12.0,0.0,25.0
71.0,16.0,13.0,0.0,33.0
84.0,4.0,12.0,0.0,19.0
79.0,7.0,14.0,0.0,25.0
82.0,7.0,11.0,0.0,20.0
71.0,16.0,13.0,0.0,33.0
80.0,7.0,13.0,0.0,24.0
86.0,4.0,10.0,0.0,14.0
82.0,8.0,10.0,0.0,18.0
67.0,14.0,19.0,0.0,44.0
86.0,3.0,11.0,0.0,16.0
83.0,9.0,8.0,0.0,16.0
86.0,3.0,11.0,0.0,16.0
83.0,6.0,11.0,0.0,19.0
83.0,5.0,12.0,0.0,20.0
80.0,6.0,14.0,0.0,25.0
83.0,6.0,11.0,0.0,18.0
81.0,7.0,12.0,0.0,22.0
83.0,6.0,11.0,0.0,20.0
85.0,5.0,10.0,0.0,16.0
79.0,7.0,14.0,0.0,25.0
89.0,2.0,9.0,0.0,10.0
77.0,8.0,15.0,0.0,28.0
85.0,6.0,9.0,0.0,14.0
77.0,7.0,16.0,0.0,33.0
78.0,8.0,14.0,0.0,28.0
82.0,7.0,11.0,0.0,21.0
79.0,8.0,13.0,0.0,24.0
75.0,10.0,15.0,0.0,32.0
79.0,6.0,15.0,0.0,26.0
79.0,11.0,10.0,0.0,22.0
75.0,10.0,15.0,0.0,35.0
85.0,6.0,9.0,0.0,14.0
81.0,8.0,11.0,0.0,20.0
75.0,9.0,16.0,0.0,32.0
72.0,14.0,14.0,0.0,35.0
82.0,6.0,12.0,0.0,20.0
86.0,3.0,11.0,0.0,15.0
70.0,9.0,21.0,0.0,41.0
78.0,10.0,12.0,0.0,24.0
83.0,8.0,9.0,0.0,18.0
79.0,6.0,15.0,0.0,29.0
74.0,13.0,13.0,0.0,30.0
77.0,10.0,13.0,0.0,27.0
81.0,5.0,14.0,0.0,23.0
82.0,5.0,13.0,0.0,21.0
84.0,5.0,11.0,0.0,21.0
78.0,4.0,18.0,0.0,32.0
77.0,7.0,16.0,0.0,31.0
84.0,4.0,12.0,0.0,19.0
77.0,9.0,14.0,0.0,27.0
85.0,5.0,10.0,0.0,15.0
79.0,8.0,13.0,0.0,25.0
83.0,1.0,16.0,0.0,26.0
78.0,6.0,16.0,0.0,30.0
88.0,2.0,10.0,0.0,12.0
85.0,4.0,11.0,0.0,17.0
74.0,13.0,13.0,0.0,30.0
80.0,7.0,13.0,0.0,24.0
80.0,7.0,13.0,0.0,23.0
82.0,9.0,9.0,0.0,18.0
84.0,5.0,11.0,0.0,17.0
85.0,4.0,11.0,0.0,17.0
84.0,4.0,12.0,0.0,21.0
82.0,7.0,11.0,0.0,22.0
85.0,1.0,14.0,0.0,20.0
73.0,10.0,17.0,0.0,35.0
79.0,10.0,11.0,0.0,22.0
74.0,12.0,14.0,0.0,30.0
70.0,15.0,15.0,0.0,36.0
84.0,3.0,13.0,0.0,20.0
76.0,14.0,10.0,0.0,26.0
76.0,13.0,11.0,0.0,25.0
86.0,3.0,11.0,0.0,15.0
77.0,7.0,16.0,0.0,30.0
82.0,8.0,10.0,0.0,18.0
83.0,6.0,11.0,0.0,20.0
82.0,6.0,12.0,0.0,22.0
80.0,7.0,13.0,0.0,24.0
79.0,7.0,14.0,0.0,25.0
83.0,8.0,9.0,0.0,18.0
77.0,10.0,13.0,0.0,28.0
86.0,2.0,12.0,0.0,17.0
82.0,7.0,11.0,0.0,20.0
82.0,8.0,10.0,0.0,18.0
81.0,9.0,10.0,0.0,22.0
76.0,10.0,14.0,0.0,31.0
72.0,13.0,15.0,0.0,33.0
78.0,9.0,13.0,0.0,27.0
81.0,8.0,11.0,0.0,20.0
73.0,12.0,15.0,0.0,32.0
79.0,3.0,18.0,0.0,30.0
76.0,10.0,14.0,0.0,28.0
81.0,7.0,12.0,0.0,21.0
79.0,9.0,12.0,0.0,27.0
80.0,9.0,11.0,0.0,21.0
78.0,8.0,14.0,0.0,27.0
81.0,9.0,10.0,0.0,23.0
90.0,2.0,8.0,0.0,8.0
73.0,10.0,17.0,0.0,36.0
77.0,6.0,17.0,0.0,32.0
82.0,7.0,11.0,0.0,22.0
82.0,4.0,14.0,0.0,22.0
69.0,15.0,16.0,0.0,37.0
83.0,6.0,11.0,0.0,19.0
85.0,3.0,12.0,0.0,17.0
89.0,1.0,10.0,0.0,11.0
86.0,4.0,10.0,0.0,15.0
85.0,3.0,12.0,0.0,18.0
80.0,10.0,10.0,0.0,21.0
77.0,10.0,13.0,0.0,26.0
84.0,6.0,10.0,0.0,16.0
84.0,7.0,9.0,0.0,15.0
87.0,5.0,8.0,0.0,12.0
80.0,5.0,15.0,0.0,26.0
76.0,8.0,16.0,0.0,31.0
84.0,4.0,12.0,0.0,18.0
84.0,5.0,11.0,0.0,19.0
89.0,3.0,8.0,0.0,9.0
85.0,5.0,10.0,0.0,15.0
80.0,5.0,15.0,0.0,27.0
89.0,2.0,9.0,0.0,11.0
73.0,19.0,8.0,0.0,26.0
83.0,4.0,13.0,0.0,22.0
84.0,3.0,13.0,0.0,20.0
81.0,7.0,12.0,0.0,21.0
76.0,7.0,17.0,0.0,32.0
85.0,5.0,10.0,0.0,16.0
76.0,9.0,15.0,0.0,32.0
85.0,2.0,13.0,0.0,19.0
86.0,3.0,11.0,0.0,16.0
81.0,9.0,10.0,0.0,21.0
83.0,4.0,13.0,0.0,21.0
81.0,6.0,13.0,0.0,23.0
84.0,4.0,12.0,0.0,20.0
78.0,13.0,9.0,0.0,25.0
77.0,8.0,15.0,0.0,30.0
83.0,7.0,10.0,0.0,18.0
78.0,11.0,11.0,0.0,24.0
81.0,7.0,12.0,0.0,22.0
84.0,2.0,14.0,0.0,22.0
85.0,4.0,11.0,0.0,18.0
84.0,5.0,11.0,0.0,17.0
86.0,3.0,11.0,0.0,16.0
69.0,15.0,16.0,0.0,39.0
75.0,8.0,17.0,0.0,34.0
81.0,8.0,11.0,0.0,20.0
80.0,9.0,11.0,0.0,22.0
79.0,10.0,11.0,0.0,23.0
74.0,10.0,16.0,0.0,34.0
83.0,6.0,11.0,0.0,18.0
82.0,6.0,12.0,0.0,20.0
86.0,5.0,9.0,0.0,13.0
83.0,6.0,11.0,0.0,20.0
81.0,5.0,14.0,0.0,25.0
75.0,11.0,14.0,0.0,29.0
83.0,6.0,11.0,0.0,20.0
79.0,9.0,12.0,0.0,24.0
81.0,9.0,10.0,0.0,21.0
87.0,4.0,9.0,0.0,16.0
76.0,9.0,15.0,0.0,29.0
84.0,4.0,12.0,0.0,18.0
78.0,5.0,17.0,0.0,29.0
81.0,6.0,13.0,0.0,23.0
80.0,8.0,12.0,0.0,25.0
75.0,13.0,12.0,0.0,27.0
77.0,11.0,12.0,0.0,27.0
69.0,18.0,13.0,0.0,34.0
81.0,7.0,12.0,0.0,23.0
80.0,6.0,14.0,0.0,26.0
83.0,7.0,10.0,0.0,17.0
83.0,6.0,11.0,0.0,21.0
77.0,9.0,14.0,0.0,29.0
71.0,12.0,17.0,0.0,38.0
82.0,4.0,14.0,0.0,22.0
75.0,14.0,11.0,0.0,26.0
79.0,11.0,10.0,0.0,21.0
79.0,6.0,15.0,0.0,27.0
70.0,15.0,15.0,0.0,36.0
86.0,4.0,10.0,0.0,18.0
78.0,13.0,9.0,0.0,21.0
82.0,6.0,12.0,0.0,22.0
84.0,4.0,12.0,0.0,19.0
82.0,7.0,11.0,0.0,19.0
81.0,5.0,14.0,0.0,23.0
85.0,3.0,12.0,0.0,18.0
83.0,6.0,11.0,0.0,23.0
84.0,6.0,10.0,0.0,16.0
78.0,11.0,11.0,0.0,25.0
82.0,7.0,11.0,0.0,19.0
80.0,11.0,9.0,0.0,21.0
83.0,7.0,10.0,0.0,18.0
72.0,13.0,15.0,0.0,35.0
89.0,4.0,7.0,0.0,9.0
85.0,6.0,9.0,0.0,16.0
83.0,6.0,11.0,0.0,19.0
73.0,13.0,14.0,0.0,32.0
86.0,5.0,9.0,0.0,13.0
82.0,5.0,13.0,0.0,25.0
79.0,7.0,14.0,0.0,26.0
82.0,5.0,13.0,0.0,21.0
82.0,6.0,12.0,0.0,22.0
77.0,11.0,12.0,0.0,25.0
83.0,3.0,14.0,0.0,23.0
77.0,9.0,14.0,0.0,28.0
75.0,11.0,14.0,0.0,29.0
81.0,6.0,13.0,0.0,22.0
80.0,4.0,16.0,0.0,26.0
82.0,9.0,9.0,0.0,17.0
85.0,2.0,13.0,0.0,19.0
80.0,7.0,13.0,0.0,23.0
76.0,8.0,16.0,0.0,33.0
82.0,5.0,13.0,0.0,24.0
85.0,4.0,11.0,0.0,16.0
76.0,7.0,17.0,0.0,36.0
77.0,11.0,12.0,0.0,25.0
79.0,14.0,7.0,0.0,20.0
82.0,8.0,10.0,0.0,19.0
69.0,13.0,18.0,0.0,39.0
84.0,6.0,10.0,0.0,17.0
83.0,9.0,8.0,0.0,16.0
85.0,5.0,10.0,0.0,16.0
73.0,8.0,19.0,0.0,36.0
81.0,12.0,7.0,0.0,16.0
75.0,13.0,12.0,0.0,27.0
88.0,3.0,9.0,0.0,11.0
78.0,12.0,10.0,0.0,23.0
81.0,9.0,10.0,0.0,19.0
76.0,10.0,14.0,0.0,28.0
82.0,8.0,10.0,0.0,19.0
86.0,2.0,12.0,0.0,16.0
79.0,10.0,11.0,0.0,23.0
81.0,7.0,12.0,0.0,23.0
80.0,6.0,14.0,0.0,24.0
79.0,8.0,13.0,0.0,26.0
72.0,10.0,18.0,0.0,37.0
89.0,4.0,7.0,0.0,8.0
82.0,6.0,12.0,0.0,21.0
82.0,8.0,10.0,0.0,20.0
80.0,3.0,17.0,0.0,29.0
